produto;quantidade_litro;ano
VINHO DE MESA;200.488.612;2008
Tinto;172.020.779;2008
Rosado;1.840.779;2008
Branco;26.627.054;2008
VINHO  FINO DE MESA;23.167.738;2008
Tinto;13.920.224;2008
Rosado;313.513;2008
Branco;8.934.001;2008
VINHO FRIZANTE;441.691;2008
VINHO ORGÂNICO;-;2008
VINHO ESPECIAL;65;2008
Tinto;65;2008
Rosado;-;2008
Branco;-;2008
ESPUMANTES;9.539.610;2008
Espumante  Moscatel;1.905.395;2008
Espumante;7.634.215;2008
Espumante Orgânico;-;2008
SUCO DE UVAS;21.568.032;2008
Suco Natural Integral;-;2008
Suco Reprocessado/reconstituido;-;2008
Suco Orgânico;-;2008
Outros sucos de uvas;-;2008
SUCO DE UVAS CONCENTRADO;27.880.465;2008
OUTROS PRODUTOS COMERCIALIZADOS;28.697.650;2008
Outros vinhos (sem informação detalhada);-;2008
Agrin (fermentado, acetico misto);7.268.443;2008
Aguardente de vinho 50°gl;-;2008
Alcool vinico;-;2008
Bagaceira (graspa);23.195;2008
Base champenoise champanha;69.800;2008
Base charmat champanha;56;2008
Base espumante moscatel;12.794;2008
Bebida de uva;3.888.187;2008
Borra líquida;-;2008
Borra seca;18.640;2008
Brandy (conhaque);6.606;2008
Cooler;4.367.404;2008
Coquetel com vinho;791.532;2008
Destilado de vinho;32.281;2008
Filtrado doce;7.551.842;2008
Jeropiga;10.796;2008
Mistelas;3.340;2008
Mosto concentrado;-;2008
Mosto de uva;-;2008
Mosto sulfitado;-;2008
Nectar de uva;2.019.104;2008
Outros produtos;743.367;2008
Polpa de uva;1.316.846;2008
Preparado líquido para refresco;694.816;2008
Refrigerante +50% suco;-;2008
Sangria;455.704;2008
Vinagre balsamico;20.395;2008
Vinagre duplo;687.430;2008
Vinagre simples;2.813.447;2008
Vinho acetificado;1.547.161;2008
Vinho base para espumantes;-;2008
Vinho composto;1.065.845;2008
Vinho licoroso;557.062;2008
Vinho leve;-;2008
Vinho gaseificado;-;2008
Total;311.783.863;2008
VINHO DE MESA;234.525.979;2009
Tinto;193.004.182;2009
Rosado;2.307.580;2009
Branco;39.214.217;2009
VINHO  FINO DE MESA;33.080.270;2009
Tinto;19.576.295;2009
Rosado;213.835;2009
Branco;13.290.140;2009
VINHO FRIZANTE;1.003.596;2009
VINHO ORGÂNICO;-;2009
VINHO ESPECIAL;113;2009
Tinto;113;2009
Rosado;-;2009
Branco;-;2009
ESPUMANTES;11.242.890;2009
Espumante  Moscatel;2.500.230;2009
Espumante;8.742.660;2009
Espumante Orgânico;-;2009
SUCO DE UVAS;29.131.455;2009
Suco Natural Integral;-;2009
Suco Reprocessado/reconstituido;-;2009
Suco Orgânico;-;2009
Outros sucos de uvas;-;2009
SUCO DE UVAS CONCENTRADO;31.861.857;2009
OUTROS PRODUTOS COMERCIALIZADOS;26.554.757;2009
Outros vinhos (sem informação detalhada);-;2009
Agrin (fermentado, acetico misto);6.745.427;2009
Aguardente de vinho 50°gl;-;2009
Alcool vinico;-;2009
Bagaceira (graspa);21.133;2009
Base champenoise champanha;-;2009
Base charmat champanha;-;2009
Base espumante moscatel;-;2009
Bebida de uva;1.279.586;2009
Borra líquida;12.000;2009
Borra seca;-;2009
Brandy (conhaque);7.151;2009
Cooler;4.561.959;2009
Coquetel com vinho;1.354.734;2009
Destilado de vinho;100;2009
Filtrado doce;6.533.888;2009
Jeropiga;14.443;2009
Mistelas;7.034;2009
Mosto concentrado;-;2009
Mosto de uva;-;2009
Mosto sulfitado;-;2009
Nectar de uva;4.933.019;2009
Outros produtos;418.132;2009
Polpa de uva;1.339.958;2009
Preparado líquido para refresco;467.005;2009
Refrigerante +50% suco;-;2009
Sangria;192.082;2009
Vinagre balsamico;36.937;2009
Vinagre duplo;426.804;2009
Vinagre simples;2.996.318;2009
Vinho acetificado;808.389;2009
Vinho base para espumantes;10.649;2009
Vinho composto;542.123;2009
Vinho licoroso;591.313;2009
Vinho leve;-;2009
Vinho gaseificado;-;2009
Total;367.400.917;2009
VINHO DE MESA;221.242.945;2010
Tinto;188.649.074;2010
Rosado;2.036.928;2010
Branco;30.556.943;2010
VINHO  FINO DE MESA;21.390.159;2010
Tinto;15.184.398;2010
Rosado;236.802;2010
Branco;5.968.959;2010
VINHO FRIZANTE;1.851.136;2010
VINHO ORGÂNICO;-;2010
VINHO ESPECIAL;293;2010
Tinto;293;2010
Rosado;-;2010
Branco;-;2010
ESPUMANTES;12.647.906;2010
Espumante  Moscatel;2.946.179;2010
Espumante;9.701.727;2010
Espumante Orgânico;-;2010
SUCO DE UVAS;35.164.681;2010
Suco Natural Integral;-;2010
Suco Reprocessado/reconstituido;-;2010
Suco Orgânico;-;2010
Outros sucos de uvas;-;2010
SUCO DE UVAS CONCENTRADO;30.827.991;2010
OUTROS PRODUTOS COMERCIALIZADOS;29.023.870;2010
Outros vinhos (sem informação detalhada);-;2010
Agrin (fermentado, acetico misto);6.852.708;2010
Aguardente de vinho 50°gl;-;2010
Alcool vinico;-;2010
Bagaceira (graspa);16.413;2010
Base champenoise champanha;11;2010
Base charmat champanha;42.847;2010
Base espumante moscatel;18.418;2010
Bebida de uva;763.368;2010
Borra líquida;13.000;2010
Borra seca;46.000;2010
Brandy (conhaque);6.448;2010
Cooler;4.674.272;2010
Coquetel com vinho;977.962;2010
Destilado de vinho;31.814;2010
Filtrado doce;6.611.313;2010
Jeropiga;37.310;2010
Mistelas;26.577;2010
Mosto concentrado;-;2010
Mosto de uva;12.438;2010
Mosto sulfitado;-;2010
Nectar de uva;5.397.459;2010
Outros produtos;284.824;2010
Polpa de uva;2.774.322;2010
Preparado líquido para refresco;377.010;2010
Refrigerante +50% suco;-;2010
Sangria;172.214;2010
Vinagre balsamico;67.502;2010
Vinagre duplo;912.242;2010
Vinagre simples;3.336.175;2010
Vinho acetificado;1.123.858;2010
Vinho base para espumantes;-;2010
Vinho composto;661.586;2010
Vinho licoroso;638.487;2010
Vinho leve;-;2010
Vinho gaseificado;-;2010
Total;352.148.981;2010
VINHO DE MESA;230.310.468;2011
Tinto;196.562.722;2011
Rosado;1.668.823;2011
Branco;32.078.923;2011
VINHO  FINO DE MESA;19.967.310;2011
Tinto;14.876.896;2011
Rosado;211.484;2011
Branco;4.878.930;2011
VINHO FRIZANTE;1.706.679;2011
VINHO ORGÂNICO;-;2011
VINHO ESPECIAL;699;2011
Tinto;699;2011
Rosado;-;2011
Branco;-;2011
ESPUMANTES;13.305.275;2011
Espumante  Moscatel;2.996.441;2011
Espumante;10.308.834;2011
Espumante Orgânico;-;2011
SUCO DE UVAS;45.222.136;2011
Suco Natural Integral;-;2011
Suco Reprocessado/reconstituido;-;2011
Suco Orgânico;-;2011
Outros sucos de uvas;-;2011
SUCO DE UVAS CONCENTRADO;34.892.316;2011
OUTROS PRODUTOS COMERCIALIZADOS;28.783.827;2011
Outros vinhos (sem informação detalhada);-;2011
Agrin (fermentado, acetico misto);5.997.697;2011
Aguardente de vinho 50°gl;-;2011
Alcool vinico;-;2011
Bagaceira (graspa);18.111;2011
Base champenoise champanha;41.134;2011
Base charmat champanha;66.220;2011
Base espumante moscatel;22.162;2011
Bebida de uva;532.821;2011
Borra líquida;22.016;2011
Borra seca;73.006;2011
Brandy (conhaque);5.640;2011
Cooler;4.684.087;2011
Coquetel com vinho;805.235;2011
Destilado de vinho;90.364;2011
Filtrado doce;7.001.836;2011
Jeropiga;57.887;2011
Mistelas;983;2011
Mosto concentrado;-;2011
Mosto de uva;291.399;2011
Mosto sulfitado;-;2011
Nectar de uva;5.703.340;2011
Outros produtos;385.029;2011
Polpa de uva;1.875.782;2011
Preparado líquido para refresco;367.193;2011
Refrigerante +50% suco;-;2011
Sangria;158.868;2011
Vinagre balsamico;78.540;2011
Vinagre duplo;875.720;2011
Vinagre simples;3.386.303;2011
Vinho acetificado;983.700;2011
Vinho base para espumantes;-;2011
Vinho composto;662.965;2011
Vinho licoroso;593.486;2011
Vinho leve;-;2011
Vinho gaseificado;-;2011
Total;374.188.710;2011
VINHO DE MESA;206.969.571;2012
Tinto;173.964.776;2012
Rosado;1.738.134;2012
Branco;31.266.661;2012
VINHO  FINO DE MESA;22.469.950;2012
Tinto;15.443.016;2012
Rosado;150.806;2012
Branco;6.876.128;2012
VINHO FRIZANTE;1.605.767;2012
VINHO ORGÂNICO;-;2012
VINHO ESPECIAL;239;2012
Tinto;239;2012
Rosado;-;2012
Branco;-;2012
ESPUMANTES;14.889.147;2012
Espumante  Moscatel;3.610.289;2012
Espumante;11.278.858;2012
Espumante Orgânico;-;2012
SUCO DE UVAS;53.832.204;2012
Suco Natural Integral;-;2012
Suco Reprocessado/reconstituido;-;2012
Suco Orgânico;-;2012
Outros sucos de uvas;-;2012
SUCO DE UVAS CONCENTRADO;33.529.324;2012
OUTROS PRODUTOS COMERCIALIZADOS;30.316.511;2012
Outros vinhos (sem informação detalhada);-;2012
Agrin (fermentado, acetico misto);5.311.258;2012
Aguardente de vinho 50°gl;-;2012
Alcool vinico;-;2012
Bagaceira (graspa);14.710;2012
Base champenoise champanha;42.671;2012
Base charmat champanha;46.518;2012
Base espumante moscatel;25.921;2012
Bebida de uva;261.223;2012
Borra líquida;21.980;2012
Borra seca;89.000;2012
Brandy (conhaque);5.495;2012
Cooler;4.258.333;2012
Coquetel com vinho;907.199;2012
Destilado de vinho;30.000;2012
Filtrado doce;7.108.554;2012
Jeropiga;55.050;2012
Mistelas;5.097;2012
Mosto concentrado;-;2012
Mosto de uva;29.304;2012
Mosto sulfitado;-;2012
Nectar de uva;5.644.055;2012
Outros produtos;484.205;2012
Polpa de uva;1.995.839;2012
Preparado líquido para refresco;613.313;2012
Refrigerante +50% suco;-;2012
Sangria;73.590;2012
Vinagre balsamico;102.259;2012
Vinagre duplo;1.208.132;2012
Vinagre simples;4.027.358;2012
Vinho acetificado;2.110.450;2012
Vinho base para espumantes;-;2012
Vinho composto;510.914;2012
Vinho licoroso;645.341;2012
Vinho leve;-;2012
Vinho gaseificado;-;2012
Total;363.612.713;2012
VINHO DE MESA;221.590.810;2013
Tinto;188.033.494;2013
Rosado;1.777.648;2013
Branco;31.779.668;2013
VINHO  FINO DE MESA;27.912.934;2013
Tinto;19.121.750;2013
Rosado;214.269;2013
Branco;8.576.915;2013
VINHO FRIZANTE;1.764.851;2013
VINHO ORGÂNICO;-;2013
VINHO ESPECIAL;2.257;2013
Tinto;2.257;2013
Rosado;-;2013
Branco;-;2013
ESPUMANTES;15.978.504;2013
Espumante  Moscatel;3.783.531;2013
Espumante;12.194.973;2013
Espumante Orgânico;-;2013
SUCO DE UVAS;75.973.297;2013
Suco Natural Integral;-;2013
Suco Reprocessado/reconstituido;-;2013
Suco Orgânico;-;2013
Outros sucos de uvas;-;2013
SUCO DE UVAS CONCENTRADO;38.369.914;2013
OUTROS PRODUTOS COMERCIALIZADOS;36.841.561;2013
Outros vinhos (sem informação detalhada);-;2013
Agrin (fermentado, acetico misto);56.936;2013
Aguardente de vinho 50°gl;-;2013
Alcool vinico;-;2013
Bagaceira (graspa);17.075;2013
Base champenoise champanha;27.078;2013
Base charmat champanha;97.260;2013
Base espumante moscatel;26.483;2013
Bebida de uva;291.188;2013
Borra líquida;22.000;2013
Borra seca;62.825;2013
Brandy (conhaque);6.276;2013
Cooler;4.028.017;2013
Coquetel com vinho;806.955;2013
Destilado de vinho;24.838;2013
Filtrado doce;6.685.648;2013
Jeropiga;94.860;2013
Mistelas;1.655;2013
Mosto concentrado;-;2013
Mosto de uva;325.562;2013
Mosto sulfitado;-;2013
Nectar de uva;5.347.775;2013
Outros produtos;529.274;2013
Polpa de uva;1.981.851;2013
Preparado líquido para refresco;623.481;2013
Refrigerante +50% suco;-;2013
Sangria;76.039;2013
Vinagre balsamico;122.749;2013
Vinagre duplo;3.233.270;2013
Vinagre simples;8.049.936;2013
Vinho acetificado;3.154.800;2013
Vinho base para espumantes;-;2013
Vinho composto;595.513;2013
Vinho licoroso;609.153;2013
Vinho leve;-;2013
Vinho gaseificado;-;2013
Total;418.434.128;2013
VINHO DE MESA;206.404.427;2014
Tinto;178.250.072;2014
Rosado;1.419.855;2014
Branco;26.734.500;2014
VINHO  FINO DE MESA;20.424.983;2014
Tinto;15.354.938;2014
Rosado;164.219;2014
Branco;4.905.826;2014
VINHO FRIZANTE;1.893.469;2014
VINHO ORGÂNICO;-;2014
VINHO ESPECIAL;7.231;2014
Tinto;7.231;2014
Rosado;-;2014
Branco;-;2014
ESPUMANTES;17.191.075;2014
Espumante  Moscatel;4.588.465;2014
Espumante;12.602.610;2014
Espumante Orgânico;-;2014
SUCO DE UVAS;88.013.377;2014
Suco Natural Integral;-;2014
Suco Reprocessado/reconstituido;-;2014
Suco Orgânico;-;2014
Outros sucos de uvas;-;2014
SUCO DE UVAS CONCENTRADO;39.359.935;2014
OUTROS PRODUTOS COMERCIALIZADOS;34.963.296;2014
Outros vinhos (sem informação detalhada);-;2014
Agrin (fermentado, acetico misto);-;2014
Aguardente de vinho 50°gl;-;2014
Alcool vinico;-;2014
Bagaceira (graspa);14.472;2014
Base champenoise champanha;46.476;2014
Base charmat champanha;75.067;2014
Base espumante moscatel;37.395;2014
Bebida de uva;70.999;2014
Borra líquida;33.381;2014
Borra seca;106.400;2014
Brandy (conhaque);6.625;2014
Cooler;4.045.218;2014
Coquetel com vinho;736.496;2014
Destilado de vinho;150;2014
Filtrado doce;6.267.047;2014
Jeropiga;64.937;2014
Mistelas;948;2014
Mosto concentrado;-;2014
Mosto de uva;1.818.425;2014
Mosto sulfitado;-;2014
Nectar de uva;3.488.907;2014
Outros produtos;639.191;2014
Polpa de uva;2.358.125;2014
Preparado líquido para refresco;259.320;2014
Refrigerante +50% suco;-;2014
Sangria;86.279;2014
Vinagre balsamico;124.379;2014
Vinagre duplo;969.702;2014
Vinagre simples;8.180.657;2014
Vinho acetificado;4.465.675;2014
Vinho base para espumantes;-;2014
Vinho composto;450.121;2014
Vinho licoroso;616.904;2014
Vinho leve;-;2014
Vinho gaseificado;-;2014
Total;408.257.793;2014
