paises;quantidade_kg;valor;categorias;ano
Afeganistão;-;-;Vinhos de mesa;2008
África do Sul;-;-;Vinhos de mesa;2008
Alemanha, República Democrática;265.742;429.970;Vinhos de mesa;2008
Angola;25.721;71.083;Vinhos de mesa;2008
Anguilla;-;-;Vinhos de mesa;2008
Antígua e Barbuda;-;-;Vinhos de mesa;2008
Antilhas Holandesas;17.938;22.908;Vinhos de mesa;2008
Argentina;-;-;Vinhos de mesa;2008
Aruba;-;-;Vinhos de mesa;2008
Austrália;218.726;99.280;Vinhos de mesa;2008
Áustria;-;-;Vinhos de mesa;2008
Bahamas;-;-;Vinhos de mesa;2008
Bangladesh;-;-;Vinhos de mesa;2008
Barbados;-;-;Vinhos de mesa;2008
Barein;-;-;Vinhos de mesa;2008
Bélgica;3.523;12.969;Vinhos de mesa;2008
Belice;-;-;Vinhos de mesa;2008
Benin;10.350;17.423;Vinhos de mesa;2008
Bolívia;3.979;3.990;Vinhos de mesa;2008
Bósnia-Herzegovina;-;-;Vinhos de mesa;2008
Brasil;-;-;Vinhos de mesa;2008
Bulgária;-;-;Vinhos de mesa;2008
Cabo Verde;-;-;Vinhos de mesa;2008
Camarões;-;-;Vinhos de mesa;2008
Canadá;20.949;80.476;Vinhos de mesa;2008
Catar;-;-;Vinhos de mesa;2008
Cayman, Ilhas;-;-;Vinhos de mesa;2008
Chile;-;-;Vinhos de mesa;2008
China;8.689;25.926;Vinhos de mesa;2008
Chipre;-;-;Vinhos de mesa;2008
Cingapura;1.233;4.699;Vinhos de mesa;2008
Cocos (Keeling), Ilhas;-;-;Vinhos de mesa;2008
Colômbia;-;-;Vinhos de mesa;2008
Comores;-;-;Vinhos de mesa;2008
Congo;-;-;Vinhos de mesa;2008
Coreia, Republica Sul;3.520;14.366;Vinhos de mesa;2008
Costa do Marfim;-;-;Vinhos de mesa;2008
Costa Rica;55;200;Vinhos de mesa;2008
Croácia;-;-;Vinhos de mesa;2008
Cuba;-;-;Vinhos de mesa;2008
Curaçao;-;-;Vinhos de mesa;2008
Dinamarca;518;15.905;Vinhos de mesa;2008
Dominica;-;-;Vinhos de mesa;2008
El Salvador;-;-;Vinhos de mesa;2008
Emirados Arabes Unidos;2.437;12.298;Vinhos de mesa;2008
Equador;-;-;Vinhos de mesa;2008
Eslovaca, Republica;585;16.063;Vinhos de mesa;2008
Espanha;2.942;6.834;Vinhos de mesa;2008
Estados Unidos;443.895;804.607;Vinhos de mesa;2008
Estônia;4.114;9.730;Vinhos de mesa;2008
Filipinas;-;-;Vinhos de mesa;2008
Finlândia;-;-;Vinhos de mesa;2008
França;11.078;27.500;Vinhos de mesa;2008
Gana;18.168;25.642;Vinhos de mesa;2008
Gibraltar;-;-;Vinhos de mesa;2008
Granada;-;-;Vinhos de mesa;2008
Grécia;-;-;Vinhos de mesa;2008
Guatemala;-;-;Vinhos de mesa;2008
Guiana;-;-;Vinhos de mesa;2008
Guiana Francesa;-;-;Vinhos de mesa;2008
Guine Bissau;-;-;Vinhos de mesa;2008
Guine Equatorial;548;1.417;Vinhos de mesa;2008
Haiti;20;20;Vinhos de mesa;2008
Honduras;162;580;Vinhos de mesa;2008
Hong Kong;2.430;13.460;Vinhos de mesa;2008
Hungria;-;-;Vinhos de mesa;2008
Ilha de Man;-;-;Vinhos de mesa;2008
Ilhas Virgens;-;-;Vinhos de mesa;2008
India;-;-;Vinhos de mesa;2008
Indonésia;-;-;Vinhos de mesa;2008
Irã;-;-;Vinhos de mesa;2008
Iraque;-;-;Vinhos de mesa;2008
Irlanda;-;-;Vinhos de mesa;2008
Itália;-;-;Vinhos de mesa;2008
Jamaica;-;-;Vinhos de mesa;2008
Japão;232.293;178.333;Vinhos de mesa;2008
Jordânia;-;-;Vinhos de mesa;2008
Letônia;-;-;Vinhos de mesa;2008
Líbano;-;-;Vinhos de mesa;2008
Libéria;-;-;Vinhos de mesa;2008
Luxemburgo;13.606;42.341;Vinhos de mesa;2008
