paises;quantidade_kg;valor;categorias;ano
Africa do Sul;738.116;2.266.827;Vinhos de mesa;2008
Alemanha;92.600;438.595;Vinhos de mesa;2008
Argélia;-;-;Vinhos de mesa;2008
Arábia Saudita;-;-;Vinhos de mesa;2008
Argentina;27.980.574;87.519.642;Vinhos de mesa;2008
Armênia;2.385;13.668;Vinhos de mesa;2008
Austrália;579.279;1.590.059;Vinhos de mesa;2008
Áustria;7.403;53.974;Vinhos de mesa;2008
Bermudas;1;4;Vinhos de mesa;2008
Bélgica;-;-;Vinhos de mesa;2008
Bolívia;-;-;Vinhos de mesa;2008
Bósnia-Herzegovina;-;-;Vinhos de mesa;2008
Brasil;1;5;Vinhos de mesa;2008
Bulgária;29.929;43.221;Vinhos de mesa;2008
Canada;884;11.607;Vinhos de mesa;2008
Chile;68.881.232;184.335.335;Vinhos de mesa;2008
China;-;-;Vinhos de mesa;2008
Coreia do Sul, República;-;-;Vinhos de mesa;2008
Croácia;887;35.563;Vinhos de mesa;2008
Emirados Árabes Unidos;-;-;Vinhos de mesa;2008
Eslovênia;31.509;127.726;Vinhos de mesa;2008
Eslováquia;-;-;Vinhos de mesa;2008
Espanha;6.487.047;17.187.749;Vinhos de mesa;2008
Estados Unidos;393.211;3.023.220;Vinhos de mesa;2008
França;4.911.903;25.955.232;Vinhos de mesa;2008
Geórgia;12.506;26.983;Vinhos de mesa;2008
Geórgia do Sul e Sandwich do Sul, Ilhas;1.788;2.797;Vinhos de mesa;2008
Grécia;45.440;148.515;Vinhos de mesa;2008
Hong Kong;-;-;Vinhos de mesa;2008
Hungria;29.260;160.168;Vinhos de mesa;2008
Indonesia;-;-;Vinhos de mesa;2008
Irlanda;-;-;Vinhos de mesa;2008
Israel;19.589;82.489;Vinhos de mesa;2008
Itália;9.622.119;33.330.465;Vinhos de mesa;2008
Japão;-;-;Vinhos de mesa;2008
Iugoslavia;-;-;Vinhos de mesa;2008
Líbano;30.149;182.548;Vinhos de mesa;2008
Luxemburgo;-;-;Vinhos de mesa;2008
Macedônia;-;-;Vinhos de mesa;2008
