cultivar;quantidade_kg;categorias;ano;sem_definicao
TINTAS;93.296.587;Viníferas;2008;
Alicante Bouschet;811.140;Viníferas;2008;
Ancelota;6.513.974;Viníferas;2008;
Aramon;-;Viníferas;2008;
Alfrocheiro;-;Viníferas;2008;
Arinarnoa;2.785.609;Viníferas;2008;
Aspirant Bouschet;15.691.137;Viníferas;2008;
Barbera;437.640;Viníferas;2008;
Bonarda;3.110;Viníferas;2008;
Cabernet Franc;16.626.545;Viníferas;2008;
Cabernet Sauvignon;1.857.999;Viníferas;2008;
Caladoc;108.600;Viníferas;2008;
Campanario;-;Viníferas;2008;
Canaiolo;-;Viníferas;2008;
Carignan;-;Viníferas;2008;
Carmenere;76.625;Viníferas;2008;
Castelão;-;Viníferas;2008;
Corvina;69.910;Viníferas;2008;
Croatina;-;Viníferas;2008;
Cinsaut;-;Viníferas;2008;
Dom Felder;-;Viníferas;2008;
Dolcetto;-;Viníferas;2008;
Durif;-;Viníferas;2008;
Egiodola;6.322.152;Viníferas;2008;
Ekigaina;2.202.348;Viníferas;2008;
Festival (Sugraone);-;Viníferas;2008;
Franconia;-;Viníferas;2008;
Freisa;-;Viníferas;2008;
Gamay St Romain;-;Viníferas;2008;
Gamay Beaujolais;5.375.879;Viníferas;2008;
Grand Noir;-;Viníferas;2008;
Grenache;1.715.870;Viníferas;2008;
Jaen;-;Viníferas;2008;
Lagrein;94.970;Viníferas;2008;
Lambrusco;3.221.972;Viníferas;2008;
Malbec;8.502.206;Viníferas;2008;
Marzemina;-;Viníferas;2008;
Merlot;494.356;Viníferas;2008;
Marselan;154.348;Viníferas;2008;
Molinera;569;Viníferas;2008;
Montepulciano;28.485;Viníferas;2008;
Moscato Bailey;3.541.181;Viníferas;2008;
Napa Gamay;-;Viníferas;2008;
Nebbiolo;254.738;Viníferas;2008;
Petit Verdot;277.189;Viníferas;2008;
Petite Sirah;198.152;Viníferas;2008;
Pinotage;1.281.674;Viníferas;2008;
Pinot Noir;6.184.345;Viníferas;2008;
Pinot Saint George;-;Viníferas;2008;
Piriquita;-;Viníferas;2008;
Rebo;15.912;Viníferas;2008;
