produto;quantidade_litro;ano
VINHO DE MESA;287.506.811;2008
Tinto;241.057.928;2008
Branco;42.942.053;2008
Rosado;3.506.830;2008
VINHO FINO DE MESA (VINÍFERA);47.334.501;2008
Tinto;27.583.032;2008
Branco;18.812.571;2008
Rosado;938.898;2008
SUCO;35.647.994;2008
Suco de uva integral;11.817.941;2008
Suco de uva concentrado;23.014.646;2008
Suco de uva adoçado;815.407;2008
Suco de uva orgânico;-;2008
Suco de uva reconstituído;-;2008
DERIVADOS;59.622.293;2008
Espumante;88.690;2008
Espumante moscatel;1.113.462;2008
Base espumante;220.120;2008
Base espumante moscatel;474.721;2008
Base Champenoise champanha;-;2008
Base Charmat champanha;-;2008
Bebida de uva;1.082.700;2008
Polpa de uva;1.188.260;2008
Mosto simples;53.683.415;2008
Mosto concentrado;-;2008
Mosto de uva com bagaço;-;2008
Mosto dessulfitado;-;2008
Mistelas;2.000;2008
Néctar de uva;-;2008
Licorosos;-;2008
Compostos;-;2008
Jeropiga;-;2008
Filtrado;-;2008
Frisante;-;2008
Vinho leve;-;2008
Vinho licoroso;65.650;2008
Brandy;-;2008
Destilado;-;2008
Bagaceira;8.500;2008
Licor de bagaceira;-;2008
Vinagre;-;2008
Borra líquida;1.679.775;2008
Borra seca;-;2008
Vinho Composto;-;2008
Pisco;-;2008
Vinho orgânico;15.000;2008
Espumante orgânico;-;2008
Destilado alcoólico simples de bagaceira;-;2008
Vinho acidificado;-;2008
Mosto parcialmente fermentado;-;2008
Outros derivados;-;2008
Total;430.111.599;2008
VINHO DE MESA;205.418.206;2009
Tinto;164.143.454;2009
Branco;39.211.278;2009
Rosado;2.063.474;2009
VINHO FINO DE MESA (VINÍFERA);39.900.568;2009
Tinto;18.209.043;2009
Branco;21.366.975;2009
Rosado;324.550;2009
SUCO;39.715.098;2009
Suco de uva integral;16.034.003;2009
Suco de uva concentrado;23.006.457;2009
Suco de uva adoçado;674.638;2009
Suco de uva orgânico;-;2009
Suco de uva reconstituído;-;2009
DERIVADOS;56.787.892;2009
Espumante;-;2009
Espumante moscatel;1.190.500;2009
Base espumante;335.850;2009
Base espumante moscatel;442.150;2009
Base Champenoise champanha;-;2009
Base Charmat champanha;-;2009
Bebida de uva;420;2009
Polpa de uva;1.352.417;2009
Mosto simples;53.418.555;2009
Mosto concentrado;-;2009
Mosto de uva com bagaço;-;2009
Mosto dessulfitado;-;2009
Mistelas;3.500;2009
Néctar de uva;-;2009
Licorosos;38.000;2009
Compostos;-;2009
Jeropiga;-;2009
Filtrado;-;2009
