pais_origem;pais_destino;quantidade_litro;valor;categorias;ano_exportado
Brasil;Alemanha, República Democrática;7630.0;45367.0;Vinhos de mesa;2008
Brasil;Angola;4068.0;4761.0;Vinhos de mesa;2008
Brasil;Antígua e Barbuda;419.0;1866.0;Vinhos de mesa;2008
Brasil;Argentina;480.0;3232.0;Vinhos de mesa;2008
Brasil;Austrália;1424.0;12299.0;Vinhos de mesa;2008
Brasil;Áustria;6.0;212.0;Vinhos de mesa;2008
Brasil;Bahamas;1215.0;5799.0;Vinhos de mesa;2008
Brasil;Bangladesh;7.0;84.0;Vinhos de mesa;2008
Brasil;Barbados;220.0;1145.0;Vinhos de mesa;2008
Brasil;Barein;979.0;2789.0;Vinhos de mesa;2008
Brasil;Bélgica;828.0;6145.0;Vinhos de mesa;2008
Brasil;Bolívia;32530.0;49011.0;Vinhos de mesa;2008
Brasil;Brasil;2504.0;952.0;Vinhos de mesa;2008
Brasil;Bulgária;5.0;31.0;Vinhos de mesa;2008
Brasil;Canadá;1183.0;5784.0;Vinhos de mesa;2008
Brasil;Cayman, Ilhas;160.0;958.0;Vinhos de mesa;2008
Brasil;Chile;2094.0;7986.0;Vinhos de mesa;2008
Brasil;China;105395.0;404647.0;Vinhos de mesa;2008
Brasil;Chipre;1521.0;4458.0;Vinhos de mesa;2008
Brasil;Cocos (Keeling), Ilhas;26.0;60.0;Vinhos de mesa;2008
Brasil;Colômbia;8217.0;14068.0;Vinhos de mesa;2008
Brasil;Coreia, Republica Sul;77.0;257.0;Vinhos de mesa;2008
Brasil;Croácia;34.0;484.0;Vinhos de mesa;2008
Brasil;Cuba;16.0;6.0;Vinhos de mesa;2008
Brasil;Curaçao;40673.0;66950.0;Vinhos de mesa;2008
Brasil;Dinamarca;2.0;6.0;Vinhos de mesa;2008
Brasil;Dominica;1485.0;2223.0;Vinhos de mesa;2008
Brasil;Emirados Arabes Unidos;4781.0;85465.0;Vinhos de mesa;2008
Brasil;Equador;135.0;210.0;Vinhos de mesa;2008
Brasil;Estados Unidos;220373.0;447893.0;Vinhos de mesa;2008
Brasil;Filipinas;375.0;790.0;Vinhos de mesa;2008
Brasil;França;5694.0;25008.0;Vinhos de mesa;2008
Brasil;Gana;35949.0;49304.0;Vinhos de mesa;2008
Brasil;Granada;5610.0;7914.0;Vinhos de mesa;2008
Brasil;Grécia;920.0;2426.0;Vinhos de mesa;2008
Brasil;Guatemala;1283.0;5350.0;Vinhos de mesa;2008
Brasil;Guiana;2064.0;5823.0;Vinhos de mesa;2008
Brasil;Guiana Francesa;22.0;18.0;Vinhos de mesa;2008
Brasil;Haiti;553503.0;741014.0;Vinhos de mesa;2008
Brasil;Hong Kong;9371.0;38218.0;Vinhos de mesa;2008
Brasil;Ilha de Man;165.0;641.0;Vinhos de mesa;2008
Brasil;India;247.0;1021.0;Vinhos de mesa;2008
Brasil;Irã;47.0;90.0;Vinhos de mesa;2008
Brasil;Itália;1129.0;6151.0;Vinhos de mesa;2008
Brasil;Japão;37324.0;82208.0;Vinhos de mesa;2008
Brasil;Libéria;9145.0;34815.0;Vinhos de mesa;2008
Brasil;Luxemburgo;36.0;802.0;Vinhos de mesa;2008
Brasil;Malta;3127.0;15587.0;Vinhos de mesa;2008
Brasil;Marshall, Ilhas;7240.0;27178.0;Vinhos de mesa;2008
Brasil;México;6.0;33.0;Vinhos de mesa;2008
Brasil;Moçambique;383.0;1927.0;Vinhos de mesa;2008
Brasil;Nigéria;32234.0;50283.0;Vinhos de mesa;2008
Brasil;Noruega;2711.0;40316.0;Vinhos de mesa;2008
Brasil;Nova Zelândia;63.0;156.0;Vinhos de mesa;2008
Brasil;Omã;194.0;670.0;Vinhos de mesa;2008
Brasil;Países Baixos;7034.0;37240.0;Vinhos de mesa;2008
Brasil;Panamá;11490.0;49392.0;Vinhos de mesa;2008
Brasil;Paraguai;5076670.0;7156293.0;Vinhos de mesa;2008
Brasil;Portugal;1918.0;7613.0;Vinhos de mesa;2008
Brasil;Quênia;1440.0;2080.0;Vinhos de mesa;2008
Brasil;Reino Unido;18835.0;138154.0;Vinhos de mesa;2008
Brasil;Rússia;66046.0;118618.0;Vinhos de mesa;2008
Brasil;São Vicente e Granadinas;20.0;51.0;Vinhos de mesa;2008
Brasil;Serra Leoa;8101.0;15182.0;Vinhos de mesa;2008
Brasil;Singapura;4322.0;15434.0;Vinhos de mesa;2008
Brasil;Suécia;5.0;18.0;Vinhos de mesa;2008
Brasil;Suíça;1584.0;20863.0;Vinhos de mesa;2008
Brasil;Suriname;1225.0;3360.0;Vinhos de mesa;2008
Brasil;Tailândia;432.0;1713.0;Vinhos de mesa;2008
Brasil;Taiwan (FORMOSA);25.0;277.0;Vinhos de mesa;2008
Brasil;Tcheca, República;1305.0;9997.0;Vinhos de mesa;2008
Brasil;Togo;17317.0;25608.0;Vinhos de mesa;2008
Brasil;Turquia;418.0;503.0;Vinhos de mesa;2008
Brasil;Uruguai;637117.0;997367.0;Vinhos de mesa;2008
Brasil;Venezuela;23220.0;32351.0;Vinhos de mesa;2008
Brasil;Vietnã;130.0;277.0;Vinhos de mesa;2008
Brasil;Alemanha;1164.0;6560.0;Espumantes;2008
Brasil;Angola;26383.0;141588.0;Espumantes;2008
Brasil;Antigua e Barbuda;65.0;146.0;Espumantes;2008
Brasil;Bahamas;56.0;194.0;Espumantes;2008
Brasil;Barbados;25.0;101.0;Espumantes;2008
Brasil;Bermudas;12.0;58.0;Espumantes;2008
Brasil;Bolívia;22307.0;70416.0;Espumantes;2008
Brasil;Canada;62.0;347.0;Espumantes;2008
Brasil;Chile;4.0;19.0;Espumantes;2008
Brasil;China;8619.0;35079.0;Espumantes;2008
Brasil;Chipre;382.0;931.0;Espumantes;2008
Brasil;Colombia;15396.0;56227.0;Espumantes;2008
Brasil;Coreia do Sul, Republica da;10.0;30.0;Espumantes;2008
Brasil;Curaçao;3487.0;15494.0;Espumantes;2008
Brasil;Dominica;594.0;1461.0;Espumantes;2008
Brasil;Equador;135.0;500.0;Espumantes;2008
Brasil;Estados Unidos;732209.0;1964451.0;Espumantes;2008
Brasil;Falkland (Malvinas);360.0;2081.0;Espumantes;2008
Brasil;Filipinas;77.0;389.0;Espumantes;2008
Brasil;França;772.0;4308.0;Espumantes;2008
Brasil;Gana;12729.0;58137.0;Espumantes;2008
Brasil;Granada;1122.0;3050.0;Espumantes;2008
Brasil;Grêcia;38.0;177.0;Espumantes;2008
Brasil;Guatemala;284.0;1527.0;Espumantes;2008
Brasil;Guiana;5553.0;26216.0;Espumantes;2008
Brasil;Haiti;4842.0;9417.0;Espumantes;2008
Brasil;Hong Kong;1175.0;5328.0;Espumantes;2008
Brasil;Ilha de Man;2.0;20.0;Espumantes;2008
Brasil;Irlanda;6.0;22.0;Espumantes;2008
Brasil;Italia;503.0;3702.0;Espumantes;2008
Brasil;Japão;2970.0;12049.0;Espumantes;2008
Brasil;Líbano;1350.0;4810.0;Espumantes;2008
Brasil;Libéria;1105.0;3367.0;Espumantes;2008
Brasil;Maldivas;3221.0;10680.0;Espumantes;2008
Brasil;Malta;191.0;822.0;Espumantes;2008
Brasil;Marshall, Ilhas;1154.0;3438.0;Espumantes;2008
Brasil;Nigéria;6705.0;32586.0;Espumantes;2008
Brasil;Noruega;483.0;9852.0;Espumantes;2008
Brasil;Paises Baixos (Holanda);707.0;6038.0;Espumantes;2008
Brasil;Panama;3092.0;32540.0;Espumantes;2008
Brasil;Paraguai;48160.0;183187.0;Espumantes;2008
Brasil;Portugal;56.0;612.0;Espumantes;2008
Brasil;Reino Unido;9305.0;53968.0;Espumantes;2008
Brasil;Russia;990.0;5280.0;Espumantes;2008
Brasil;Serra Leoa;225.0;1165.0;Espumantes;2008
Brasil;Singapura;642.0;5235.0;Espumantes;2008
Brasil;Tailandia;17.0;107.0;Espumantes;2008
Brasil;Taiwan (Formosa);901.0;4141.0;Espumantes;2008
Brasil;Turquia;2.0;17.0;Espumantes;2008
Brasil;Uruguai;10200.0;87895.0;Espumantes;2008
Brasil;Vietnã;16.0;19.0;Espumantes;2008
Brasil;Alemanha, República Democrática;559012.0;1213303.0;Uvas frescas;2008
Brasil;Antígua e Barbuda;253.0;999.0;Uvas frescas;2008
Brasil;Arabia Saudita;12224.0;53675.0;Uvas frescas;2008
Brasil;Argentina;3954281.0;8103640.0;Uvas frescas;2008
Brasil;Bahamas;3035.0;10694.0;Uvas frescas;2008
Brasil;Bangladesh;113.0;319.0;Uvas frescas;2008
Brasil;Barbados;163.0;540.0;Uvas frescas;2008
Brasil;Barein;316.0;1159.0;Uvas frescas;2008
Brasil;Bélgica;39134.0;95538.0;Uvas frescas;2008
Brasil;Belize;117.0;248.0;Uvas frescas;2008
Brasil;Bermudas;200.0;761.0;Uvas frescas;2008
Brasil;Bolívia;132736.0;67397.0;Uvas frescas;2008
Brasil;Brasil;109.0;267.0;Uvas frescas;2008
Brasil;Camarões;50.0;149.0;Uvas frescas;2008
Brasil;Canadá;383543.0;1497880.0;Uvas frescas;2008
Brasil;Catar;28.0;75.0;Uvas frescas;2008
Brasil;Cayman, Ilhas;277.0;1145.0;Uvas frescas;2008
Brasil;Chile;31.0;125.0;Uvas frescas;2008
Brasil;China;945.0;2708.0;Uvas frescas;2008
Brasil;Chipre;1867.0;4345.0;Uvas frescas;2008
Brasil;Cocos (Keeling), Ilhas;32.0;55.0;Uvas frescas;2008
Brasil;Colombia;13.0;32.0;Uvas frescas;2008
Brasil;Coreia do Sul;142.0;381.0;Uvas frescas;2008
