pais_origem;pais_destino;quantidade_litro;valor;categorias;ano_exportado
Brasil;Alemanha, República Democrática;265742.0;429970.0;Vinhos de mesa;2008
Brasil;Angola;25721.0;71083.0;Vinhos de mesa;2008
Brasil;Antilhas Holandesas;17938.0;22908.0;Vinhos de mesa;2008
Brasil;Austrália;218726.0;99280.0;Vinhos de mesa;2008
Brasil;Bélgica;3523.0;12969.0;Vinhos de mesa;2008
Brasil;Benin;10350.0;17423.0;Vinhos de mesa;2008
Brasil;Bolívia;3979.0;3990.0;Vinhos de mesa;2008
Brasil;Canadá;20949.0;80476.0;Vinhos de mesa;2008
Brasil;China;8689.0;25926.0;Vinhos de mesa;2008
Brasil;Cingapura;1233.0;4699.0;Vinhos de mesa;2008
Brasil;Coreia, Republica Sul;3520.0;14366.0;Vinhos de mesa;2008
Brasil;Costa Rica;55.0;200.0;Vinhos de mesa;2008
Brasil;Dinamarca;518.0;15905.0;Vinhos de mesa;2008
Brasil;Emirados Arabes Unidos;2437.0;12298.0;Vinhos de mesa;2008
Brasil;Eslovaca, Republica;585.0;16063.0;Vinhos de mesa;2008
Brasil;Espanha;2942.0;6834.0;Vinhos de mesa;2008
Brasil;Estados Unidos;443895.0;804607.0;Vinhos de mesa;2008
Brasil;Estônia;4114.0;9730.0;Vinhos de mesa;2008
Brasil;França;11078.0;27500.0;Vinhos de mesa;2008
Brasil;Gana;18168.0;25642.0;Vinhos de mesa;2008
Brasil;Guine Equatorial;548.0;1417.0;Vinhos de mesa;2008
Brasil;Haiti;20.0;20.0;Vinhos de mesa;2008
Brasil;Honduras;162.0;580.0;Vinhos de mesa;2008
Brasil;Hong Kong;2430.0;13460.0;Vinhos de mesa;2008
Brasil;Japão;232293.0;178333.0;Vinhos de mesa;2008
Brasil;Luxemburgo;13606.0;42341.0;Vinhos de mesa;2008
Brasil;Namibia;340.0;722.0;Vinhos de mesa;2008
Brasil;Nigéria;7560.0;10920.0;Vinhos de mesa;2008
Brasil;Países Baixos;340412.0;783635.0;Vinhos de mesa;2008
Brasil;Panamá;1161.0;1882.0;Vinhos de mesa;2008
Brasil;Paraguai;2191901.0;1374088.0;Vinhos de mesa;2008
Brasil;Polônia;20290.0;58353.0;Vinhos de mesa;2008
Brasil;Portugal;49090.0;48942.0;Vinhos de mesa;2008
Brasil;Reino Unido;100097.0;155076.0;Vinhos de mesa;2008
Brasil;Rússia;6207658.0;2352768.0;Vinhos de mesa;2008
Brasil;Suécia;26984.0;84564.0;Vinhos de mesa;2008
Brasil;Suíça;54384.0;216317.0;Vinhos de mesa;2008
Brasil;Suriname;900.0;1625.0;Vinhos de mesa;2008
Brasil;Taiwan (FORMOSA);10030.0;18679.0;Vinhos de mesa;2008
Brasil;Tcheca, República;17135.0;64709.0;Vinhos de mesa;2008
Brasil;Togo;5160.0;7800.0;Vinhos de mesa;2008
Brasil;Alemanha;5423.0;20928.0;Espumantes;2008
Brasil;Angola;2244.0;10581.0;Espumantes;2008
Brasil;Belgica;112.0;682.0;Espumantes;2008
Brasil;Bolívia;587.0;2048.0;Espumantes;2008
Brasil;Cingapura;378.0;1933.0;Espumantes;2008
Brasil;Coreia do Sul, Republica da;842.0;2553.0;Espumantes;2008
Brasil;Espanha;995.0;3094.0;Espumantes;2008
Brasil;Estados Unidos;283760.0;324094.0;Espumantes;2008
Brasil;França;5922.0;15429.0;Espumantes;2008
Brasil;Guiné Equatorial;2.0;416.0;Espumantes;2008
Brasil;Honduras;54.0;202.0;Espumantes;2008
Brasil;Hong Kong;810.0;4054.0;Espumantes;2008
Brasil;Japão;964.0;3578.0;Espumantes;2008
Brasil;Luxemburgo;1683.0;6367.0;Espumantes;2008
Brasil;Paraguai;4637.0;8088.0;Espumantes;2008
Brasil;Polonia;2682.0;10390.0;Espumantes;2008
Brasil;Reino Unido;20880.0;70326.0;Espumantes;2008
Brasil;Republica Tcheca;493.0;1125.0;Espumantes;2008
Brasil;Suecia;5922.0;17100.0;Espumantes;2008
Brasil;Suiça;16830.0;45662.0;Espumantes;2008
Brasil;Alemanha, República Democrática;1297991.0;2693071.0;Uvas frescas;2008
Brasil;Angola;33860.0;90396.0;Uvas frescas;2008
Brasil;Arabia Saudita;47328.0;103666.0;Uvas frescas;2008
Brasil;Argentina;724192.0;1474257.0;Uvas frescas;2008
Brasil;Bélgica;3163866.0;8111299.0;Uvas frescas;2008
Brasil;Cabo Verde;10.0;29.0;Uvas frescas;2008
Brasil;Canadá;739519.0;2621657.0;Uvas frescas;2008
Brasil;Dinamarca;414062.0;1227661.0;Uvas frescas;2008
Brasil;Emirados Arabes Unidos;160700.0;306763.0;Uvas frescas;2008
Brasil;Estados Unidos;19027635.0;41262823.0;Uvas frescas;2008
Brasil;Finlândia;24580.0;79087.0;Uvas frescas;2008
Brasil;Guadalupe;15300.0;34850.0;Uvas frescas;2008
Brasil;Guine Equatorial;34.0;106.0;Uvas frescas;2008
Brasil;Irlanda;764178.0;2288680.0;Uvas frescas;2008
Brasil;Itália;145500.0;433464.0;Uvas frescas;2008
Brasil;Lituania;94212.0;175035.0;Uvas frescas;2008
Brasil;Noruega;1434054.0;4094121.0;Uvas frescas;2008
Brasil;Países Baixos;34413288.0;65227215.0;Uvas frescas;2008
Brasil;Reino Unido;18580726.0;38772121.0;Uvas frescas;2008
Brasil;Russia,  Federação da;873977.0;1853317.0;Uvas frescas;2008
Brasil;Suécia;246711.0;546159.0;Uvas frescas;2008
Brasil;Uruguai;40428.0;60347.0;Uvas frescas;2008
Brasil;Angola;63263.0;61246.0;Suco de uva;2008
Brasil;Antilhas Holandesas;474.0;720.0;Suco de uva;2008
Brasil;Arábia Saudita;48760.0;123802.0;Suco de uva;2008
Brasil;Argentina;1815.0;8797.0;Suco de uva;2008
Brasil;Barbados;1703.0;1983.0;Suco de uva;2008
Brasil;Bolívia;2060.0;2562.0;Suco de uva;2008
Brasil;Cabo Verde;480.0;312.0;Suco de uva;2008
Brasil;Coreia do Sul;87450.0;245834.0;Suco de uva;2008
Brasil;Dominica, Ilha de;348.0;324.0;Suco de uva;2008
Brasil;Estados Unidos;220264.0;498161.0;Suco de uva;2008
Brasil;Guine Equatorial;280.0;1164.0;Suco de uva;2008
Brasil;Itália;58500.0;140673.0;Suco de uva;2008
Brasil;Japão;5570468.0;12876359.0;Suco de uva;2008
Brasil;Malásia;37100.0;89040.0;Suco de uva;2008
Brasil;Paquistão;390.0;462.0;Suco de uva;2008
Brasil;Paraguai;73332.0;52504.0;Suco de uva;2008
Brasil;Porto Rico;407105.0;952558.0;Suco de uva;2008
Brasil;República Dominicana;30210.0;75434.0;Suco de uva;2008
Brasil;Suíça;165.0;321.0;Suco de uva;2008
Brasil;Tailândia;3000.0;8526.0;Suco de uva;2008
Brasil;Taiwan (Formosa);11404.0;27778.0;Suco de uva;2008
Brasil;Tcheca, República;996.0;1436.0;Suco de uva;2008
Brasil;Trinidade e Tobago;3446.0;3471.0;Suco de uva;2008
Brasil;Uruguai;250.0;605.0;Suco de uva;2008
Brasil;Alemanha, República Democrática;225086.0;393482.0;Vinhos de mesa;2009
Brasil;Angola;54786.0;84235.0;Vinhos de mesa;2009
Brasil;Antilhas Holandesas;8235.0;10651.0;Vinhos de mesa;2009
Brasil;Argentina;162.0;4523.0;Vinhos de mesa;2009
Brasil;Austrália;1014.0;9195.0;Vinhos de mesa;2009
Brasil;Bélgica;125962.0;58764.0;Vinhos de mesa;2009
Brasil;Bolívia;40463.0;20729.0;Vinhos de mesa;2009
Brasil;Canadá;15664.0;73445.0;Vinhos de mesa;2009
Brasil;Chile;1475.0;4297.0;Vinhos de mesa;2009
Brasil;China;1553416.0;482400.0;Vinhos de mesa;2009
Brasil;Cingapura;2419.0;6110.0;Vinhos de mesa;2009
Brasil;Dinamarca;1980.0;21780.0;Vinhos de mesa;2009
Brasil;El Salvador;55.0;100.0;Vinhos de mesa;2009
Brasil;Emirados Arabes Unidos;1398.0;4032.0;Vinhos de mesa;2009
Brasil;Espanha;2181.0;4050.0;Vinhos de mesa;2009
Brasil;Estados Unidos;372319.0;660066.0;Vinhos de mesa;2009
Brasil;Estônia;5438.0;10802.0;Vinhos de mesa;2009
Brasil;Guatemala;20.0;20.0;Vinhos de mesa;2009
Brasil;Guine Equatorial;169.0;272.0;Vinhos de mesa;2009
Brasil;Haiti;4500.0;5863.0;Vinhos de mesa;2009
Brasil;Honduras;14.0;30.0;Vinhos de mesa;2009
Brasil;Hong Kong;50319.0;27188.0;Vinhos de mesa;2009
Brasil;Itália;1817.0;5251.0;Vinhos de mesa;2009
Brasil;Japão;217974.0;283436.0;Vinhos de mesa;2009
Brasil;Luxemburgo;7845.0;42124.0;Vinhos de mesa;2009
Brasil;Nicaragua;24.0;24.0;Vinhos de mesa;2009
Brasil;Nigéria;41.0;115.0;Vinhos de mesa;2009
Brasil;Países Baixos;171654.0;136991.0;Vinhos de mesa;2009
Brasil;Panamá;24.0;30.0;Vinhos de mesa;2009
Brasil;Paraguai;486927.0;392087.0;Vinhos de mesa;2009
Brasil;Polônia;6982.0;35797.0;Vinhos de mesa;2009
Brasil;Portugal;141000.0;168923.0;Vinhos de mesa;2009
Brasil;Reino Unido;30092.0;68788.0;Vinhos de mesa;2009
Brasil;Rússia;21912914.0;5732280.0;Vinhos de mesa;2009
Brasil;Suécia;28334.0;52826.0;Vinhos de mesa;2009
Brasil;Suíça;27653.0;81319.0;Vinhos de mesa;2009
Brasil;Suriname;3830.0;12918.0;Vinhos de mesa;2009
Brasil;Tcheca, República;9269.0;43902.0;Vinhos de mesa;2009
Brasil;Vietnã;743.0;2143.0;Vinhos de mesa;2009
Brasil;Alemanha;6648.0;29018.0;Espumantes;2009
Brasil;Angola;11393.0;33664.0;Espumantes;2009
Brasil;Antilhas Holandesas;180.0;1660.0;Espumantes;2009
Brasil;Chile;1673.0;8613.0;Espumantes;2009
Brasil;Cingapura;976.0;2784.0;Espumantes;2009
Brasil;Estados Unidos;35695.0;200975.0;Espumantes;2009
Brasil;Hong Kong;120.0;505.0;Espumantes;2009
Brasil;Italia;2369.0;6590.0;Espumantes;2009
